slug,name,category,badge,price_usd,placeholder_label,short_description,includes,official_sources,delivery_file,stripe_product_id,stripe_price_id_usd,stripe_payment_link_id,stripe_payment_link_usd,stripe_price_id_cad,stripe_payment_link_cad
us-f1-student-visa-ds160-i20-pack,USA F-1 Student Visa DS-160 + I-20 Preparation Pack,USA Study,Best for F-1 applicants,29,{{stripe_payment_link_us_f1_student_visa_ds160_i20_pack}},"A guided F-1 student visa preparation kit covering DS-160 planning, I-20 details, SEVIS fee tracking, embassy interview document organization, and school/program summary notes.",DS-160 pre-fill worksheet | I-20 data extraction checklist | SEVIS I-901 payment tracker | F-1 interview document checklist | School/program summary template,DOS_DS160_INFO | CEAC_DS160_APPLICATION | DOS_STUDENT_VISA | DHS_I20 | DHS_I901,templates/usa/us-f1-student-visa-ds160-i20-pack/README.md,prod_UV4GT29u8qYl7n,price_1TW47tFy6WULRNinqqVVQF6G,plink_1TW47uFy6WULRNin62jlzhpE,https://buy.stripe.com/00wfZh3G90iGaD18fygYU0m,,
us-f1-interview-home-ties-pack,USA F-1 Interview + Home Ties Evidence Pack,USA Study,Interview-ready,19,{{stripe_payment_link_us_f1_interview_home_ties_pack}},"Client-ready templates for organizing home-country ties, academic intent, funding story, sponsor relationship, and interview answer practice without guaranteeing approval.",Home ties evidence planner | Interview answer worksheet | Sponsor relationship summary | Post-study plan template | Risk review checklist,DOS_STUDENT_VISA | DOS_DS160_INFO,templates/usa/us-f1-interview-home-ties-pack/README.md,prod_UV4Gmjgc6E3VrZ,price_1TW47vFy6WULRNin1ANajE8N,plink_1TW47vFy6WULRNinfXlROVPX,https://buy.stripe.com/28EcN5ekNghE26v7bugYU0n,,
us-b1b2-visitor-visa-ds160-invitation-pack,USA B-1/B-2 Visitor Visa DS-160 + Invitation Pack,USA Visitor,Visitor visa,19,{{stripe_payment_link_us_b1b2_visitor_visa_ds160_invitation_pack}},"A visitor visa document-prep pack with trip purpose worksheet, invitation letter template, itinerary planner, and financial/travel history organizer.",DS-160 visitor prep worksheet | Invitation letter template | Travel itinerary template | Sponsor/accommodation note | Document checklist,DOS_DS160_INFO | CEAC_DS160_APPLICATION,templates/usa/us-b1b2-visitor-visa-ds160-invitation-pack/README.md,prod_UV4Gg7qANfUWPt,price_1TW47wFy6WULRNinRE6pSkk5,plink_1TW47xFy6WULRNinvepEWIdS,https://buy.stripe.com/7sY9ATa4xc1o7qPcvOgYU0o,,
us-opt-i765-application-prep-pack,USA F-1 OPT I-765 Application Preparation Pack,USA Work After Study,OPT,25,{{stripe_payment_link_us_opt_i765_application_prep_pack}},"A structured OPT application organizer for I-765 filing readiness, DSO endorsement tracking, identity evidence, prior employment authorization, and mailing/online-filing audit notes.",I-765 prep worksheet | OPT timing tracker | Evidence upload checklist | DSO/I-20 endorsement tracker | Post-submission tracker,USCIS_I765 | USCIS_OPT | DHS_I20,templates/usa/us-opt-i765-application-prep-pack/README.md,prod_UV4GCJ14gXHeSr,price_1TW47yFy6WULRNinjqi74jSU,plink_1TW47yFy6WULRNinsVXmkENR,https://buy.stripe.com/6oU5kDekN1mK7qP53mgYU0p,,
us-stem-opt-i765-i983-companion-pack,USA STEM OPT I-765 + I-983 Companion Pack,USA Work After Study,STEM OPT,29,{{stripe_payment_link_us_stem_opt_i765_i983_companion_pack}},"A STEM OPT planning pack for organizing employer details, training-plan notes, I-765 evidence, and 24-month extension timeline control.",STEM OPT timeline tracker | Employer/E-Verify data worksheet | I-983 prep notes | I-765 evidence checklist | Reporting calendar,USCIS_STEM_OPT | USCIS_I765 | USCIS_OPT,templates/usa/us-stem-opt-i765-i983-companion-pack/README.md,prod_UV4GklSSSKoe2r,price_1TW47zFy6WULRNinsLmJfi7a,plink_1TW480Fy6WULRNinR6b107Y1,https://buy.stripe.com/bJe00ja4x8PcaD1fI0gYU0q,,
us-i134-financial-support-companion-pack,USA I-134 Financial Support Companion Pack,USA Financial Support,Sponsor support,17,{{stripe_payment_link_us_i134_financial_support_companion_pack}},A support-document organizer for sponsors preparing financial evidence and beneficiary-support explanations alongside official USCIS I-134 guidance.,Sponsor data worksheet | Financial evidence checklist | Support explanation letter | Relationship evidence planner | Document naming guide,USCIS_I134 | USCIS_ALL_FORMS,templates/usa/us-i134-financial-support-companion-pack/README.md,prod_UV4GQHHaYf9I5u,price_1TW481Fy6WULRNinqldCQJrf,plink_1TW482Fy6WULRNinT9cXPQMW,https://buy.stripe.com/9B6bJ1gsV3uSbH5cvOgYU0r,,
canada-study-permit-complete-pack,Canada Study Permit Complete Application Preparation Pack,Canada Study,Best seller,29,{{stripe_payment_link_canada_study_permit_complete_pack}},"A Canada study permit prep kit covering letter of acceptance, PAL/TAL/CAQ notes, proof of funds, study plan, family info, and portal upload organization.",Study permit document checklist | Study plan/letter of explanation | Proof-of-funds organizer | Family information prep worksheet | Upload file naming guide,IRCC_FORMS_GUIDES | IRCC_STUDY_PERMIT_DOCS | IRCC_STUDY_FINANCIAL_SUPPORT | IRCC_IMM5483 | IRCC_FAMILY_INFO_IMM5645,templates/canada/canada-study-permit-complete-pack/README.md,prod_UV4GHeENd9Mn82,price_1TW482Fy6WULRNin2Qtlw7Dw,plink_1TW483Fy6WULRNinD2tbFbNw,https://buy.stripe.com/5kQ7sL2C50iG9yXanGgYU0s,,
canada-proof-of-funds-sponsor-pack,Canada Proof of Funds + Sponsor Support Pack,Canada Study,Proof of funds,19,{{stripe_payment_link_canada_proof_of_funds_sponsor_pack}},"A financial-document kit for organizing tuition, living expenses, sponsor income, bank statements, scholarship proof, GICs, loans, and explanatory notes.",Proof-of-funds cover letter | Sponsor letter template | Bank statement checklist | Funds source explanation worksheet | Tuition and living-cost tracker,IRCC_STUDY_FINANCIAL_SUPPORT | IRCC_STUDY_PERMIT_DOCS,templates/canada/canada-proof-of-funds-sponsor-pack/README.md,prod_UV4Ga4LguThCYD,price_1TW484Fy6WULRNin8xIREJ1Y,plink_1TW485Fy6WULRNinnmQ4QKHU,https://buy.stripe.com/8x29AT90tghE12ranGgYU0t,,
canada-study-plan-letter-of-explanation-pack,Canada Study Plan + Letter of Explanation Pack,Canada Study,SOP / LOE,17,{{stripe_payment_link_canada_study_plan_letter_of_explanation_pack}},"Editable templates for a Canada study plan, statement of purpose, program rationale, career pathway, and refusal-risk explanation addendum.",Study plan template | Letter of explanation template | Program fit worksheet | Career plan template | Refusal-risk addendum outline,IRCC_STUDY_PERMIT_DOCS | IRCC_FORMS_GUIDES,templates/canada/canada-study-plan-letter-of-explanation-pack/README.md,prod_UV4GLQRwdNU0Pg,price_1TW486Fy6WULRNin3UdhmvWZ,plink_1TW486Fy6WULRNinF3u7mM3D,https://buy.stripe.com/6oU00j6Sle9wdPdfI0gYU0u,,
canada-trv-visitor-visa-pack,Canada Temporary Resident Visa Visitor Pack,Canada Visitor,TRV,19,{{stripe_payment_link_canada_trv_visitor_visa_pack}},"A Canada visitor visa prep pack with IMM 5257 planning notes, invitation letter, travel itinerary, host support statement, and document checklist.",IMM 5257 prep worksheet | Invitation letter template | Host support statement | Travel itinerary | Document checklist,IRCC_TRV_IMM5257 | IRCC_FORMS_GUIDES | IRCC_FAMILY_INFO_IMM5645,templates/canada/canada-trv-visitor-visa-pack/README.md,prod_UV4GwkpQJkK2mx,price_1TW487Fy6WULRNin3vTPK4nJ,plink_1TW488Fy6WULRNin23kusgiZ,https://buy.stripe.com/fZu7sLgsVd5s3az7bugYU0v,,
