slug,name,currency,unit_amount,price_usd,category,badge,description,metadata_category,metadata_delivery_file,success_url_placeholder,cancel_url_placeholder
us-f1-student-visa-ds160-i20-pack,USA F-1 Student Visa DS-160 + I-20 Preparation Pack,usd,2900,29,USA Study,Best for F-1 applicants,"A guided F-1 student visa preparation kit covering DS-160 planning, I-20 details, SEVIS fee tracking, embassy interview document organization, and school/program summary notes.",USA Study,templates/usa/us-f1-student-visa-ds160-i20-pack/README.md,https://yousafeconsultancy.com/order-success?product=us-f1-student-visa-ds160-i20-pack,https://checkout.yousafeconsultancy.com/services
us-f1-interview-home-ties-pack,USA F-1 Interview + Home Ties Evidence Pack,usd,1900,19,USA Study,Interview-ready,"Client-ready templates for organizing home-country ties, academic intent, funding story, sponsor relationship, and interview answer practice without guaranteeing approval.",USA Study,templates/usa/us-f1-interview-home-ties-pack/README.md,https://yousafeconsultancy.com/order-success?product=us-f1-interview-home-ties-pack,https://checkout.yousafeconsultancy.com/services
us-b1b2-visitor-visa-ds160-invitation-pack,USA B-1/B-2 Visitor Visa DS-160 + Invitation Pack,usd,1900,19,USA Visitor,Visitor visa,"A visitor visa document-prep pack with trip purpose worksheet, invitation letter template, itinerary planner, and financial/travel history organizer.",USA Visitor,templates/usa/us-b1b2-visitor-visa-ds160-invitation-pack/README.md,https://yousafeconsultancy.com/order-success?product=us-b1b2-visitor-visa-ds160-invitation-pack,https://checkout.yousafeconsultancy.com/services
us-opt-i765-application-prep-pack,USA F-1 OPT I-765 Application Preparation Pack,usd,2500,25,USA Work After Study,OPT,"A structured OPT application organizer for I-765 filing readiness, DSO endorsement tracking, identity evidence, prior employment authorization, and mailing/online-filing audit notes.",USA Work After Study,templates/usa/us-opt-i765-application-prep-pack/README.md,https://yousafeconsultancy.com/order-success?product=us-opt-i765-application-prep-pack,https://checkout.yousafeconsultancy.com/services
us-stem-opt-i765-i983-companion-pack,USA STEM OPT I-765 + I-983 Companion Pack,usd,2900,29,USA Work After Study,STEM OPT,"A STEM OPT planning pack for organizing employer details, training-plan notes, I-765 evidence, and 24-month extension timeline control.",USA Work After Study,templates/usa/us-stem-opt-i765-i983-companion-pack/README.md,https://yousafeconsultancy.com/order-success?product=us-stem-opt-i765-i983-companion-pack,https://checkout.yousafeconsultancy.com/services
us-i134-financial-support-companion-pack,USA I-134 Financial Support Companion Pack,usd,1700,17,USA Financial Support,Sponsor support,A support-document organizer for sponsors preparing financial evidence and beneficiary-support explanations alongside official USCIS I-134 guidance.,USA Financial Support,templates/usa/us-i134-financial-support-companion-pack/README.md,https://yousafeconsultancy.com/order-success?product=us-i134-financial-support-companion-pack,https://checkout.yousafeconsultancy.com/services
canada-study-permit-complete-pack,Canada Study Permit Complete Application Preparation Pack,usd,2900,29,Canada Study,Best seller,"A Canada study permit prep kit covering letter of acceptance, PAL/TAL/CAQ notes, proof of funds, study plan, family info, and portal upload organization.",Canada Study,templates/canada/canada-study-permit-complete-pack/README.md,https://yousafeconsultancy.com/order-success?product=canada-study-permit-complete-pack,https://checkout.yousafeconsultancy.com/services
canada-proof-of-funds-sponsor-pack,Canada Proof of Funds + Sponsor Support Pack,usd,1900,19,Canada Study,Proof of funds,"A financial-document kit for organizing tuition, living expenses, sponsor income, bank statements, scholarship proof, GICs, loans, and explanatory notes.",Canada Study,templates/canada/canada-proof-of-funds-sponsor-pack/README.md,https://yousafeconsultancy.com/order-success?product=canada-proof-of-funds-sponsor-pack,https://checkout.yousafeconsultancy.com/services
canada-study-plan-letter-of-explanation-pack,Canada Study Plan + Letter of Explanation Pack,usd,1700,17,Canada Study,SOP / LOE,"Editable templates for a Canada study plan, statement of purpose, program rationale, career pathway, and refusal-risk explanation addendum.",Canada Study,templates/canada/canada-study-plan-letter-of-explanation-pack/README.md,https://yousafeconsultancy.com/order-success?product=canada-study-plan-letter-of-explanation-pack,https://checkout.yousafeconsultancy.com/services
canada-trv-visitor-visa-pack,Canada Temporary Resident Visa Visitor Pack,usd,1900,19,Canada Visitor,TRV,"A Canada visitor visa prep pack with IMM 5257 planning notes, invitation letter, travel itinerary, host support statement, and document checklist.",Canada Visitor,templates/canada/canada-trv-visitor-visa-pack/README.md,https://yousafeconsultancy.com/order-success?product=canada-trv-visitor-visa-pack,https://checkout.yousafeconsultancy.com/services
